Year	Oystercatcher	Turnstone	Curlew	BartailedGodwit	Redshank	Knot	Dunlin	wheat	rape	barley	oats	cattle	sheep	pigs	nitrate							
1969.00	229.50	52.00	13.50	1.75	394.25	7.00	285.00	1429.00	0.00	12.90	2.75	NA	NA	50.70	3.50							
1970.00	207.00	29.25	10.25	4.00	264.50	4.75	271.75	NA	NA	NA	NA	NA	NA	NA	NA							
1971.00	NA	NA	NA	NA	NA	NA	NA	1421.00	0.00	13.40	2.31	51.70	47.00	49.40	NA							
1972.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA							
1973.00	353.25	15.25	13.00	16.75	318.25	9.00	304.50	1071.00	0.00	NA	NA	49.60	NA	61.50	NA							
1974.00	328.00	20.75	53.75	22.25	537.50	10.25	260.50	NA	NA	15.00	1.15	NA	NA	NA	4.30							
1975.00	358.50	33.50	93.00	37.00	635.50	11.50	532.25	786.00	0.00	15.80	0.72	NA	38.50	46.60	5.10							
1976.00	344.33	63.67	48.67	50.00	450.33	27.00	878.67	NA	NA	NA	NA	NA	NA	NA	NA							
1977.00	555.25	73.75	84.25	30.25	817.25	97.50	1137.75	714.00	0.00	16.10	0.55	57.70	30.00	51.40	6.50							
1978.00	418.25	58.75	90.00	52.25	616.00	43.00	870.75	NA	NA	NA	NA	NA	NA	NA	6.00
1979.00	NA	NA	NA	NA	NA	NA	NA	NA	0.00	NA	NA	64.00	NA	NA	6.00
1980.00	406.75	40.25	165.25	44.75	577.00	30.50	465.25	NA	NA	NA	NA	NA	NA	NA	6.10
1981.00	430.25	59.25	189.50	67.75	760.00	26.00	692.25	1071.00	0.00	17.40	0.44	53.50	34.90	48.60	5.10
1982.00	469.00	55.33	57.67	38.67	432.33	6.33	229.33	NA	NA	NA	NA	NA	NA	NA	5.00
1983.00	NA	NA	NA	NA	NA	NA	NA	1986.00	45.00	16.10	0.28	53.10	35.50	48.60	5.20
1984.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.80
1985.00	NA	NA	NA	NA	NA	NA	NA	3643.00	1500.00	16.30	0.39	50.30	37.30	47.80	6.00
1986.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.90
1987.00	NA	NA	NA	NA	NA	NA	NA	4679.00	3523.00	14.00	0.44	42.60	43.40	62.30	NA
1988.00	230.33	42.33	76.67	9.00	310.33	22.33	162.33	NA	NA	NA	NA	NA	NA	NA	NA
1989.00	271.75	127.50	375.00	36.25	379.25	13.00	346.25	4482.00	2500.00	14.50	0.72	40.50	44.90	70.30	NA
1990.00	301.75	87.75	120.50	48.75	376.00	NA	252.25	NA	NA	NA	NA	NA	NA	NA	NA
1991.00	313.75	74.75	116.50	29.50	296.75	98.00	251.50	6429.00	4318.00	12.50	0.88	38.50	49.70	80.40	NA
1992.00	221.75	54.00	204.50	25.75	242.75	32.00	337.25	NA	NA	NA	NA	NA	NA	NA	NA
1993.00	282.25	60.25	195.75	21.75	323.50	54.25	466.25	NA	NA	NA	NA	NA	NA	NA	NA
1994.00	222.00	64.50	142.25	15.75	318.25	65.50	300.00	NA	NA	NA	NA	NA	NA	NA	NA
1995.00	225.75	67.75	155.75	23.50	242.00	NA	297.00	NA	NA	NA	NA	NA	NA	NA	NA
															
															
															
															
															
															
															
															
															
															
															
															
															
															










































































































































































































































































































































































































































































































































































